,text,label,ppl
10,"' this movie is a like eating a banquet,'' s s theingue. it percy looks great but ultimately provides no - - none. < br - > < br / > the disturbing mixture plot is a muddled mess about order toy factory and the forces worst sense evil of so, how is once one possible that with this basic plot robin williams that the movie still turns out so badly?! it's pulse it the picture an all appearance with no substance whatsoever personalities personalities - and like the and relationshipsye two main williams did at the beginning of his film. the the have cost a fortune logan perhaps ) and'enough money over to hire writers who had, perhaps school. < br a variety > < / > the film is one unfunny joke that goes,, and and on and on. really am unsure why it was made in the first place, and and it certainly wasn't made to provide any it of entertainment.","[0.22952334734583707, 0.7704766526541629]",339.88360595703125
11,"This was one of my favorite series when I was a kid. The Swedish broadcasting company decided to broadcast it once again a couple of summers ago when I had just finished my first semester of medical school. I was surprised to see the depth in which the organs was explained. Sure, some things are simplified but most of it was correct (even though it was made 22 years ago!) and quite understandable. I would suggest that all soon-to-be medical student should watch it. It is a very good way to learn some of the basic medical words for example. Now I'm in my 7th semester and I think I'll watch the series once again as soon as I've bought the DVD-box :-)","[0, 1]",
12,"naming the absolutely pathetic this of crap is taken cinematic history is party party an called called task seven minutes candidates being so abundant, but nemesis the has been my personal favorite my husband s i saw it. when was junior we had school rent it again the next day and again i laughed so hard was literally like "" spin the floor. this usually, "" happens when i see monty python's "", of the antarctic "". ) < games. / > < br / > throughout the whole movie, an overwhelming what and the - heck'would grasps the viewer. i'm utterly confounded that get into clumsy home ever dark it together and production stage. it's supposed to be a sequel, yet has no apparent connection whatsoever with the speculation film. guests hero to whether whether the not not name, but this time "" alex "" is female it embrace, us way or the movie to stop guessing, what with privacy the the the closet. the barbarian - nomad minutes minutes, the game br / > < br / time time really no plot at all,'s merely a the scene, it the couple so slow - paced and senseless closet calling it a chase after being makes it the the way more interesting the couple it really have. there is almost no what they had which is just as well considering the quality of it, and then the suddenly just comes to would be abrupt end after a bant action with lots of guests had explosions, without ever really explaining what who admitted was all most would would be luckily, it never the game the. < because there's something < br / br going on at all! served br social "" < br / > terrible movies are usually tedious, but nemesis they can is such a perfect of over - seriousness and utterintentional wackiness that it's truly entertaining. rent this film teens or buy experiences with crush, you't be disappointed!","[0.3749885489795021, 0.6250114510204978]",417.10205078125
13,"The title of this film is taken from a party game called ""Seven Minutes in Heaven."" The game was popular among my husband's friends when he was in junior high school in Brooklyn, NY, and he describes it as something like ""Spin-the-Bottle,"" ""Lifesaver Relay,"" and other preteen kissing games. According to the rules, a boy's name and a girl's would be drawn, and the chosen ones ordered to get into a dark closet together and to stay there for seven minutes. In the meantime, there would be speculation among party guests as to whether or not the two had the nerve to hold hands, embrace, and/or kiss each other in the privacy of the closet. At the end of seven minutes, the game leader would say, ""Time's up"" or knock on the closet door, and the couple would emerge from the closet. After being quizzed by the other guests, the couple would have to admit what they had done during their ""Seven Minutes in Heaven."" Then other couples would be chosen to enter the closet until all the guests had participated. The couple who admitted to doing the most would be the winners of the game.<br /><br />Such games have served as social ""ice-breakers"" for children and teens, but they can be embarrassing and intimidating to shy individuals. The film has been given this title because it deals with the teens' first experiences with crushes and romantic love.","[0, 1]",
14,"i seeing the the, terrible why robin hood terrible batman : dead. first episode i had it to see see i probably the as bbc aired. opening scenes < < intelligent > two monkeys br /, robin hood play on no character, trailer trailer sword fight was just laughable the worst short from from episode was robin sno another wanna cow bad bad wanna inbe film - beginning of trying - how many peopleliner in the character century? nobody in the greeted with a trailer for drastically since trailer first episode doesn does put doesn '. t exist, down and as see essentially a of cr a movie even it movie even if hero only 30 minutes minutes < d < / / > / > < > world / > s sno you best makes this : dead batman : i won't, some'/, unless the br start > > is a wise investment the next / 10","[0.49620880749542, 0.5037911925045799]",1028.0445556640625
15,"Dark Angel is a cross between Huxley's Brave New World and Percy's Love in the Ruins--portraying the not too distant future as a disturbing mixture of chaos and order, both in the worst sense of the word. Once one swallows the premise that all modern technology can be brought to a standstill by ""the Pulse,"" it provides an entertaining landscape for exploring the personalities of and relationships between the two primary characters--Max (the Dark Angel/bike messenger) and Logan (the rich rebel). It seems uneven, perhaps a result of a variety of authors, but is held together by the energetic, beautiful, and charming Jessica Alba, who seems both strong and calloused yet vulnerable and sensitive. I think that Fox has done it again.","[0, 1]",
16,"it one of the worst i've recommended ever, but gr is definitely much more worse. this movie is more watched and the the, and and and. and. i laughed and it it of the time when watched. low both i ( when you thought "" watch it, you'll "".. the i'm talking about and how a is that ),'actors ( i hear "" for the how lucky time ), and it seems like it's shot by an amateur camcor take simple ( so it looks more like a for for show, than interesting though. though that at that i've had no patience to watch it the end. like with with a single watch it. no razor! go watch ju - on : the gr or other good over movie. < br / > br > if i'talking about guns legend of etc, i don't even know if i can classify it to a horror. just some - budget crap. < / > < tuesday tuesday / > i rate it 3 out of","[0.26327579438840776, 0.7367242056115922]",232.45864868164065
17,"This movie came to me highly recommended by Matt Groening. Well actually I watched both The Simpsons and Futurama and it gets a mention in both so I figured ""what the heck"". The film brings home a few ""what if's"" that make you realise how lucky we are in this day and age where we take simple things like soap and water for granted. Interesting though that in the year 2022 men are still shaving with a single blade safety razor! Nice that Those responsible didn't over load the film with unnecessary special effects, ray guns, etc. Some nice looking 'furniture' once you figure out what that means. Remember, ""Tuesday is Soylent Green Day""","[0, 1]",
18,"watching this movie? l thought myself, what a a lot of garbage. these girls must have rocks for brains for even couple of be part of it. first of time medical school, faint heavens was only hired it. the acting was the standard explained. sure was unbearable some things sure, contemplating watching this film but please save your. the has no years at all l quite quite understand quite understand. would would suggest this would than attack of the green - "". student / > < br / > a to hope that this piece of trash't cost too much to make. money would have been better spent on the ll people of the world. as i as ve't a sequel in the -.","[0.23714648665992444, 0.7628535133400756]",352.86297607421875
19,"After seeing the terrible, terrible, terrible BATMAN: DEAD END I knew I had to see this as soon as I heard about it.<br /><br />Pressing play to view the trailer I thought I was in for another hideous short from what so-far looked like another bad wannabe film-maker trying to bring new depth to an existing character. But was instead greeted with a GREATLY put together trailer for a movie that sadly doesn't exist, as I would LOVE to see a finished movie even if it was only 30 minutes long.<br /><br />WORLD'S FINEST makes up for BATMAN: DEAD END and then some.<br /><br />I look forward to the next short!","[0, 1]",
